address_geo,count,perc,cumperc,geocode_yes,latitude,longitude,,
Grand Ave to Flower St and 88th PL Los Angeles 90003,1,2.48E-04,0.722745292,1,33.956745,-118.280844,,
Grand Ave. to Flower St and 88th PL Los Angeles 90003,1,2.48E-04,0.723984143,1,33.956745,-118.280844,,
Grand Avenue to Flower Street and 88th PL Los Angeles 90003,1,2.48E-04,0.726709613,1,33.956745,-118.280844,,
Grand to Flower and 88th Los Angeles 90003,1,2.48E-04,0.736620416,1,33.956745,-118.280844,,
GRAND TO FLOWER and 88TH PL Los Angeles 90003,1,2.48E-04,0.703666997,1,33.956745,-118.280844,,
Grand/Flower and 88th PL Los Angeles 90003,1,2.48E-04,0.737859267,1,33.956745,-118.280844,,
S Flower Street to S Grand Ave and W 88th  PL Los Angeles 90003,1,2.48E-04,0.862983152,1,33.956745,-118.280844,,
Flower and 88th PL Los Angeles 90003,1,2.48E-04,0.691526264,1,33.956779,-118.281519,,
Flower St and 88Th PL Los Angeles 90003,1,2.48E-04,0.684836472,1,33.956779,-118.281519,,
Flower St and 88th PL Los Angeles 90003,1,2.48E-04,0.685084242,1,33.956779,-118.281519,,
Flower St. and 88th  PL Los Angeles 90003,1,2.48E-04,0.686818632,1,33.956779,-118.281519,,
Flower St. and 88th PL Los Angeles 90003,1,2.48E-04,0.687066402,1,33.956779,-118.281519,,
Flower Street and 88th  PL Los Angeles,1,2.48E-04,0.689048563,1,33.956779,-118.281519,,
Broadway and 87th  PL Los Angeles 90003,1,2.48E-04,0.636769078,1,33.95864,-118.278171,,
Broadway and 87th  ST Los Angeles 90003,1,2.48E-04,0.637016848,1,33.95864,-118.278171,,
Broadway Ave and 87th  PL Los Angeles 90003,1,2.48E-04,0.634539148,1,33.95864,-118.278171,,
Broadway and 86th  PL Los Angeles 90003,1,2.48E-04,0.636521308,1,33.95934,-118.278208,,
Broadway Ave and 86th  PL Los Angeles 90003,1,2.48E-04,0.634291378,1,33.95934,-118.278208,,
Grand between 88th Pl & Gage Ave and S 8398 Grand AVE Los Angeles,1,2.48E-04,0.734142716,1,33.959739,-118.280408,,
Flower Street and 84th ST Los Angeles 90003,1,2.48E-04,0.688800793,1,33.962391,-118.281544,,
Grand and 84th PL Los Angeles 90037,1,2.48E-04,0.731169475,1,33.962415,-118.280208,,
Grand and 84th  Los Angeles 90003,1,2.48E-04,0.730921705,1,33.963238,-118.280283,,
Grand and 84th ST Los Angeles 90003,1,2.48E-04,0.731417245,1,33.963238,-118.280283,,
Grand Ave and 83th  PL Los Angeles 90037,1,2.48E-04,0.722001982,1,33.964153,-118.28023,,
Gage Avenue to 84th Street and Flower St. & Grand AVE Los Angeles 90003,2,4.96E-04,0.232903865,1,33.97084,-118.280828,,
Gage and 87th  ST Los Angeles,1,2.48E-04,0.705896928,1,33.97084,-118.280828,,
Gage and 87th Los Angeles 90003,1,2.48E-04,0.706144698,1,33.97084,-118.280828,,
Gage Ave to 84th St. and Flower St. & Grand  AVE Los Angeles 90003,1,2.48E-04,0.704162537,1,33.97084,-118.280828,,
Gage Ave. to 84th St. and Flower St & Grand AVE Los Angeles 90003,1,2.48E-04,0.704658077,1,33.97084,-118.280828,,
Gage Avenue to 84th St. and Flower St. & Grand  AVE Los Angeles 90003,1,2.48E-04,0.705153617,1,33.97084,-118.280828,,
Gage Avenue to 84th St. and Grand AVE Los Angeles 90003,1,2.48E-04,0.705401388,1,33.97084,-118.280828,,
Gage Avenue to 84th Street and Flower ST Los Angeles 90003,1,2.48E-04,0.705649158,1,33.97084,-118.280828,,
FLOWER ST and 75TH ST Los Angeles 90003,1,2.48E-04,0.67765114,1,33.971757,-118.281325,,
Flower/Grand and 87th to Gage  Los Angeles,1,2.48E-04,0.697720515,1,33.972596,-118.280853,,
Flower St and 73rd  ST Los Angeles 90003,1,2.48E-04,0.684588702,1,33.973711,-118.281325,,
Flower and Florence Los Angeles,1,2.48E-04,0.692021804,1,33.974757,-118.281379,,
Grand and 70th Los Angeles 90063,1,2.48E-04,0.730673935,1,33.976481,-118.280278,,
Grand and 67TH Los Angeles 90014,1,2.48E-04,0.730426165,1,33.978992,-118.280297,,
Flower Street and 67th ST Los Angeles 90003,1,2.48E-04,0.688553023,1,33.979007,-118.281413,,
WASHINGTON BLVD/DEAD END and WALTON AVE Los Angeles 90007,3,7.43E-04,0.160059465,,33.97915,-118.466706,,
Washington and Venice Boardwalk Los Angeles 90292,1,2.48E-04,0.938553023,,33.97915,-118.466706,,
WASHINGTON BLVD TO NACY CT and OCEAN FRONT WALK Los Angeles 90291,1,2.48E-04,0.923934589,,33.97915,-118.466706,,
Washington to Navy and Venice Ocean WALK Los Angeles 90292,1,2.48E-04,0.939296333,,33.97915,-118.466706,,
Grand and Florance & 59th Place AVE Los Angeles,1,2.48E-04,0.731665015,1,33.980044,-118.280374,,
5th ave. at Southwest Dr. and 5th  AVE Los Angeles 90043,1,2.48E-04,0.552527255,1,33.98113754,-118.3226001,,
Gage and Grand  Los Angeles,1,2.48E-04,0.706392468,1,33.982365,-118.280186,,
Gage and Grand Los Angeles 90037,1,2.48E-04,0.706640238,1,33.982365,-118.280186,,
Grand and Gage Los Angeles 90037,1,2.48E-04,0.733151635,1,33.982365,-118.280186,,
Flower St and S Gage AVE Los Angeles 90003,1,2.48E-04,0.685827552,1,33.982404,-118.281056,,
Flower Street and Gage  AVE Los Angeles 90003,1,2.48E-04,0.689296333,1,33.982404,-118.281056,,
flower street and W gage  Los Angeles,1,2.48E-04,0.982903865,1,33.982404,-118.281056,,
6310 S West BLVD Los Angeles 90043,3,7.43E-04,0.128097126,1,33.98271508,-118.3347775,,
Flower and 62nd  ST Los Angeles 90003,3,7.43E-04,0.132556987,1,33.983305,-118.281245,,
Flower St and 62nd ST Los Angeles 90003,2,4.96E-04,0.228939544,1,33.983305,-118.281245,,
Flower and 62nd ST Los Angeles,1,2.48E-04,0.691278494,1,33.983305,-118.281245,,
S Flower and W 62nd ST Los Angeles 90003,1,2.48E-04,0.863478692,1,33.983305,-118.281245,,
Zone 1 and Ocean Front WALK Los Angeles 90291,8,0.001982161,0.019821606,1,33.984165,-118.471297,,
Zone 5 and Ocean Front WALK Los Angeles 90291,5,0.00123885,0.064172448,1,33.984165,-118.471297,,
Gage Avenue to 59th Place and Flower  ST Los Angeles 90003,1,2.48E-04,0.704905847,1,33.984496,-118.280929,,
Gage to 59th and Grand  AVE Los Angeles 90003,1,2.48E-04,0.706888008,1,33.9845,-118.279949,,
Gage to 59th and Grand AVE Los Angeles 90037,1,2.48E-04,0.707135778,1,33.9845,-118.279949,,
Gage to 59th and Grand Los Angeles 90037,1,2.48E-04,0.707383548,1,33.9845,-118.279949,,
Grand & Flower and Gage-59th Los Angeles 90037,1,2.48E-04,0.720267592,1,33.9845,-118.279949,,
Flower and Grand and Gage to Slauson  Los Angeles,1,2.48E-04,0.693508424,1,33.984555,-118.280538,,
Speedway and Ocean Front Walk Los Angeles 90291,3,7.43E-04,0.158572844,,33.984712,-118.471788,,
200 E South Venice BLVD Los Angeles 90291,3,7.43E-04,0.124380575,1,33.984994,-118.468769,,
Gage Ave to Slauson Ave and Grand AVE Los Angeles 90003,1,2.48E-04,0.704410307,1,33.985287,-118.280064,,
S Gage to S Slauson Ave and S Grand AVE Los Angeles 90003,1,2.48E-04,0.863726462,1,33.985287,-118.280064,,
Grand/Flower and Gage to Slauson  Los Angeles,1,2.48E-04,0.738107037,1,33.985631,-118.280495,,
Gage to Slauson and Grand/ Flower Los Angeles,2,4.96E-04,0.233399405,1,33.985947,-118.280435,,
Gage to Slauson and Flower Los Angeles 90003,1,2.48E-04,0.707631318,1,33.985947,-118.280435,,
Gage to Slauson and Grand  AVE Los Angeles 90003,1,2.48E-04,0.707879088,1,33.985947,-118.280435,,
Gage to Slauson9 and Flower and grand Los Angeles 90003,1,2.48E-04,0.708126858,1,33.985947,-118.280435,,
Grand to Flower and Gage to Slauson  Los Angeles,1,2.48E-04,0.736868186,1,33.985947,-118.280435,,
Flower and Grand and 59th  PL Los Angeles 90003,1,2.48E-04,0.693012884,1,33.985996,-118.280517,,
Flower and Grand and 59th Pl Los Angeles,1,2.48E-04,0.693260654,1,33.985996,-118.280517,,
Grand and 59th PL Los Angeles,2,4.96E-04,0.236372646,1,33.986008,-118.280067,,
Grand and S 59th PL Los Angeles 90003,1,2.48E-04,0.733647175,1,33.986008,-118.280067,,
Flower to Grand and 59th  PL Los Angeles 90003,3,7.43E-04,0.137016848,1,33.986012,-118.280501,,
Flower to Grand and 59th PL Los Angeles,2,4.96E-04,0.230921705,1,33.986012,-118.280501,,
Flower to Grand and 59th PL Los Angeles 90003,1,2.48E-04,0.696977205,1,33.986012,-118.280501,,
Grand and Flower and 59th PL Los Angeles 90003,1,2.48E-04,0.732903865,1,33.986012,-118.280501,,
Grand Ave to Flower St and 59th  PL Los Angeles 90003,1,2.48E-04,0.722497522,1,33.986012,-118.280501,,
Grand to Flower and 59th PL Los Angeles,1,2.48E-04,0.736124876,1,33.986012,-118.280501,,
Grand to Flower and 59th PL Los Angeles 90003,1,2.48E-04,0.736372646,1,33.986012,-118.280501,,
FLOWER and 59TH PLACE Los Angeles 90037,1,2.48E-04,0.67864222,1,33.986093,-118.281595,,
Flower St and 59th  PL Los Angeles 90003,1,2.48E-04,0.684093162,1,33.986093,-118.281595,,
FLOWER ST and 59TH PL Los Angeles 90003,1,2.48E-04,0.67740337,1,33.986093,-118.281595,,
Flower St and 59th PL Los Angeles 90003,1,2.48E-04,0.684340932,1,33.986093,-118.281595,,
5965 PL Los Angeles 90047,2,4.96E-04,0.21456888,,33.98618,-118.3119,,
5965 N Saint Andrew's PL Los Angeles 90047,1,2.48E-04,0.547819623,,33.98618,-118.3119,,
5965 N St Andrews PL Los Angeles 90047,1,2.48E-04,0.548067393,,33.98618,-118.3119,,
5965 SE ST. Andrews  Los Angeles 90001,1,2.48E-04,0.548315164,,33.98618,-118.3119,,
5965 St. Andrew's  PL Los Angeles,1,2.48E-04,0.548562934,,33.98618,-118.3119,,
Between Canal St & Alberta Ave and Grand  CANL Los Angeles 90291,1,2.48E-04,0.625371655,1,33.986447,-118.469643,,
Speedway and Ocean Front Walk Los Angeles,5,0.00123885,0.061694747,1,33.988596,-118.474906,,
Flower and Slauson Los Angeles 90037,1,2.48E-04,0.694499504,1,33.989186,-118.280974,,
WALL ST and SLAUSON AVE Los Angeles 90003,1,2.48E-04,0.922943508,1,33.989191,-118.271908,,
Wall St and Slauson AVE Los Angeles 90003,1,2.48E-04,0.92690783,1,33.989191,-118.271908,,
Grand and Slauson Los Angeles,1,2.48E-04,0.733894945,1,33.989445,-118.280145,,
Electric and Venice BLVD Los Angeles 90021,1,2.48E-04,0.673439049,,33.990547,-118.459862,,
electric blvd and venice  BLVD Los Angeles 90291,1,2.48E-04,0.981169475,,33.990547,-118.459862,,
electric blvd and venice BLVD Los Angeles 90291,1,2.48E-04,0.981417245,,33.990547,-118.459862,,
Park Ave and Ocean Front  WALK Los Angeles 90291,1,2.48E-04,0.836471754,1,33.991296,-118.477486,,
Grand and 56th Los Angeles 90003,1,2.48E-04,0.730178394,1,33.991488,-118.280086,,
From 57th St to 53rd St and Grand AVE Los Angeles 90037,1,2.48E-04,0.700198216,1,33.992053,-118.280067,,
Park Ave. and Pacific  AVE Los Angeles 90291,1,2.48E-04,0.836719524,1,33.992227,-118.475934,,
55th to Vernon and Grand  AVE Los Angeles 90037,2,4.96E-04,0.2135778,1,33.992427,-118.280067,,
55th St to Vernon and Grand AVE Los Angeles 90037,1,2.48E-04,0.542864222,1,33.992427,-118.280067,,
55th to Vernon and Grand AVE Los Angeles 90037,1,2.48E-04,0.543111992,1,33.992427,-118.280067,,
Zone 1 and Ocean front WALK Los Angeles 90291,1,2.48E-04,0.954658077,,33.992701,-118.47882,,
Zone 1 and Ocean Front WALK Los Angeles 90292,1,2.48E-04,0.954410307,,33.992701,-118.47882,,
Zone 2 and River  Los Angeles,1,2.48E-04,0.954905847,,33.992701,-118.47882,,
zone 2 Los Angeles 91342,1,2.48E-04,0.99975223,,33.992701,-118.47882,,
"Zone 2, 3 and 5 and Ocean Front  WALK Los Angeles 90291",1,2.48E-04,0.955153617,,33.992701,-118.47882,,
Zone 3 & 4 and Ocean Front WALK Los Angeles 90291,1,2.48E-04,0.955401388,,33.992701,-118.47882,,
Zone 3 and River Los Angeles,1,2.48E-04,0.955649158,,33.992701,-118.47882,,
"Zone 3,4,5 and Ocean Front WALK Los Angeles 90291",1,2.48E-04,0.955896928,,33.992701,-118.47882,,
Zone 3/4/5 and Ocean Front WALK Los Angeles 90291,1,2.48E-04,0.956144698,,33.992701,-118.47882,,
ZONE 4 Los Angeles,1,2.48E-04,0.953666997,,33.992701,-118.47882,,
ZONE 4 Los Angeles 90000,1,2.48E-04,0.953914767,,33.992701,-118.47882,,
ZONE 4 Los Angeles 90602,1,2.48E-04,0.954162537,,33.992701,-118.47882,,
zone 4 Los Angeles 90602,1,2.48E-04,1,,33.992701,-118.47882,,
Zone 5 and LA River  Los Angeles,1,2.48E-04,0.956392468,,33.992701,-118.47882,,
"Zones 3, 4, 5 and Ocean Front WALK Los Angeles 90291",1,2.48E-04,0.956640238,,33.992701,-118.47882,,
"Zones 3,4,5 and Ocean Front WALK Los Angeles 90291",1,2.48E-04,0.956888008,,33.992701,-118.47882,,
Zones 4 & 5 and Ocean Front  WALK Los Angeles 90291,1,2.48E-04,0.957135778,,33.992701,-118.47882,,
