latitude,longitude,dataset
34.065,-118.299,LAHSA
34.053,-118.278,LAHSA
33.931,-118.343,LAHSA
34.075,-118.259,LAHSA
34.211,-118.562,LAHSA
34.051,-118.264,LAHSA
34.079,-117.937,LAHSA
34.062,-118.122,LAHSA
33.988,-118.472,LAHSA
34.061,-118.12,LAHSA
33.989,-118.247,LAHSA
34.018,-118.154,LAHSA
33.895,-118.351,LAHSA
34.108,-118.057,LAHSA
34.081,-118.291,LAHSA
33.978,-118.308,LAHSA
33.83,-118.292,LAHSA
33.961,-118.033,LAHSA
34.172,-118.567,LAHSA
34.256,-118.393,LAHSA
34.052,-118.243,LAHSA
33.895,-118.192,LAHSA
34.578,-118.128,LAHSA
34.043,-118.247,LAHSA
34.052,-118.267,LAHSA
34.068,-118.028,LAHSA
34.043,-118.242,LAHSA
34.041,-118.236,LAHSA
34.042,-118.245,LAHSA
34.047,-118.247,LAHSA
33.915,-118.036,LAHSA
34.133,-118.208,LAHSA
34.044,-118.245,LAHSA
33.962,-118.23,LAHSA
34.678,-118.163,LAHSA
34.075,-118.355,LAHSA
34.047,-118.445,LAHSA
34.039,-118.244,LAHSA
34.027,-118.251,LAHSA
34.044,-118.243,LAHSA
34.036,-118.234,LAHSA
34.061,-118.27,LAHSA
34.173,-118.562,LAHSA
34.094,-118.226,LAHSA
34.675,-118.161,LAHSA
34.653,-118.129,LAHSA
34.062,-118.018,LAHSA
34.096,-118.353,LAHSA
33.877,-118.083,LAHSA
34.019,-118.273,LAHSA
33.975,-118.126,LAHSA
33.932,-118.203,LAHSA
33.999,-118.454,LAHSA
34.034,-118.151,LAHSA
33.966,-118.164,LAHSA
33.899,-118.343,LAHSA
34.169,-118.378,LAHSA
34.056,-118.247,LAHSA
33.923,-118.254,LAHSA
34.228,-118.473,LAHSA
34.051,-118.292,LAHSA
34.248,-118.403,LAHSA
33.926,-118.112,LAHSA
33.922,-118.099,LAHSA
34.579,-118.13,LAHSA
34.215,-118.37,LAHSA
33.917,-118.099,LAHSA
34.163,-118.15,LAHSA
34.157,-117.916,LAHSA
33.94,-118.343,LAHSA
33.97,-118.291,LAHSA
33.929,-118.242,LAHSA
34.049,-118.258,LAHSA
34.157,-118.371,LAHSA
34.167,-118.379,LAHSA
34.054,-118.272,LAHSA
34.033,-118.265,LAHSA
34.192,-118.377,LAHSA
34.216,-118.43,LAHSA
34.097,-118.335,LAHSA
34.006,-118.334,LAHSA
33.959,-118.418,LAHSA
33.929,-118.24,LAHSA
33.903,-118.067,LAHSA
34.072,-118.372,LAHSA
33.962,-118.141,LAHSA
34.078,-117.993,LAHSA
34.123,-117.994,LAHSA
34.139,-118.366,LAHSA
33.941,-118.096,LAHSA
34.157,-117.911,LAHSA
34.061,-118.294,LAHSA
34.698,-118.144,LAHSA
34.041,-118.128,LAHSA
33.993,-117.869,LAHSA
34.002,-118.086,LAHSA
34.004,-118.089,LAHSA
33.739,-118.28,LAHSA
34.58,-118.098,LAHSA
34.168,-118.367,LAHSA
34.149,-118.377,LAHSA
34.041,-118.127,LAHSA
33.872,-118.08,LAHSA
34.058,-118.239,LAHSA
33.944,-118.199,LAHSA
34.082,-118.058,LAHSA
33.995,-118.475,LAHSA
33.959,-118.414,LAHSA
34.033,-118.152,LAHSA
34.614,-118.14,LAHSA
34.25,-118.523,LAHSA
33.927,-118.113,LAHSA
34.703,-118.147,LAHSA
34.033,-118.032,LAHSA
34.18,-118.57,LAHSA
33.797,-118.29,LAHSA
33.945,-118.352,LAHSA
33.992,-118.11,LAHSA
34.015,-118.335,LAHSA
34.005,-118.217,LAHSA
34.682,-118.163,LAHSA
34.057,-118.238,LAHSA
33.747,-118.28,LAHSA
33.914,-118.209,LAHSA
34.018,-117.987,LAHSA
33.932,-118.345,LAHSA
34.293,-118.413,LAHSA
33.779,-118.265,LAHSA
34.223,-118.448,LAHSA
33.885,-118.082,LAHSA
33.95,-118.158,LAHSA
34.075,-118.261,LAHSA
34.071,-117.938,LAHSA
34.003,-118.309,LAHSA
34.042,-118.244,LAHSA
34.167,-118.377,LAHSA
33.98,-118.101,LAHSA
34.055,-118.24,LAHSA
34.101,-118.336,LAHSA
33.73,-118.292,LAHSA
34.171,-118.475,LAHSA
34.054,-118.237,LAHSA
34.039,-118.245,LAHSA
33.951,-118.051,LAHSA
34.25,-118.526,LAHSA
34.014,-118.497,LAHSA
33.969,-118.081,LAHSA
34.04,-118.082,LAHSA
34.203,-118.448,LAHSA
34.204,-118.448,LAHSA
34.04,-118.278,LAHSA
33.95,-118.159,LAHSA
34.044,-117.963,LAHSA
34.751,-118.237,LAHSA
34.054,-118.244,LAHSA
34.047,-118.252,LAHSA
34.012,-118.274,LAHSA
33.796,-118.167,LAHSA
34.18,-118.453,LAHSA
33.938,-118.35,LAHSA
34.039,-118.239,LAHSA
33.838,-118.385,LAHSA
34.243,-118.422,LAHSA
34.018,-117.988,LAHSA
33.865,-118.104,LAHSA
34.077,-117.759,LAHSA
34.077,-117.996,LAHSA
34.138,-118.182,LAHSA
33.958,-118.151,LAHSA
34.064,-118.237,LAHSA
34.243,-118.421,LAHSA
34.033,-118.16,LAHSA
34.081,-118.39,LAHSA
33.977,-118.034,LAHSA
34.064,-117.93,LAHSA
34.806,-118.148,LAHSA
34.139,-117.941,LAHSA
34.043,-118.019,LAHSA
33.946,-117.999,LAHSA
34.031,-118.009,LAHSA
34.037,-118.268,LAHSA
33.896,-118.334,LAHSA
33.913,-118.326,LAHSA
33.898,-118.329,LAHSA
33.927,-118.353,LAHSA
34.022,-118.495,LAHSA
33.988,-118.475,LAHSA
34.08,-117.976,LAHSA
33.877,-118.082,LAHSA
34.007,-118.278,LAHSA
34.096,-118.326,LAHSA
33.922,-118.361,LAHSA
